"run","tick","dead_doctor_count","dead_patient_count","doctor_count","patient_count"
1,1.0,0,0,18,180
1,1892.0,7,31,0,1
3,1.0,0,0,18,180
3,1579.0,3,31,0,1
5,1.0,0,0,18,180
5,1878.0,12,41,0,1
7,1.0,0,0,18,180
7,2171.0,6,13,1,0
9,1.0,0,0,18,180
9,1322.0,6,24,1,0
11,1.0,0,0,18,180
11,1892.0,10,40,0,1
13,1.0,0,0,18,180
13,2151.0,4,3,1,0
15,1.0,0,0,18,180
15,1895.0,10,38,0,1
17,1.0,0,0,18,180
17,2171.0,8,34,0,1
19,1.0,0,0,18,180
19,1731.0,6,3,0,1
21,1.0,0,0,18,180
21,1681.0,8,18,0,1
23,1.0,0,0,18,180
23,2181.0,7,18,1,0
25,1.0,0,0,18,180
25,2064.0,6,21,1,0
27,1.0,0,0,18,180
27,1898.0,6,43,0,1
29,1.0,0,0,18,180
29,1761.0,7,27,0,0
2,1.0,0,0,18,180
2,2167.0,8,18,0,1
4,1.0,0,0,18,180
4,1701.0,5,33,0,1
6,1.0,0,0,18,180
6,1604.0,11,37,0,1
8,1.0,0,0,18,180
8,1580.0,3,32,0,1
10,1.0,0,0,18,180
10,1731.0,3,18,1,0
12,1.0,0,0,18,180
12,1461.0,5,43,1,0
14,1.0,0,0,18,180
14,2271.0,8,2,1,0
16,1.0,0,0,18,180
16,1631.0,5,21,0,1
18,1.0,0,0,18,180
18,1871.0,5,23,0,1
20,1.0,0,0,18,180
20,1663.0,9,6,1,0
22,1.0,0,0,18,180
22,1752.0,6,28,0,1
24,1.0,0,0,18,180
24,1552.0,7,16,0,1
26,1.0,0,0,18,180
26,2221.0,3,12,0,1
28,1.0,0,0,18,180
28,1740.0,4,24,0,1
30,1.0,0,0,18,180
30,1935.0,7,19,1,0
