"run","tick","dead_doctor_count","dead_patient_count","doctor_count","patient_count"
1,1.0,0,0,13,195
1,1581.0,2,41,1,0
3,1.0,0,0,13,195
3,1781.0,4,33,0,1
5,1.0,0,0,13,195
5,1531.0,3,51,1,0
7,1.0,0,0,13,195
7,1783.0,6,46,0,1
9,1.0,0,0,13,195
9,2032.0,1,45,1,0
11,1.0,0,0,13,195
11,1260.0,1,49,0,1
13,1.0,0,0,13,195
13,1800.0,3,19,0,1
15,1.0,0,0,13,195
15,1351.0,4,36,0,1
17,1.0,0,0,13,195
17,1240.0,2,49,0,1
19,1.0,0,0,13,195
19,1441.0,3,40,0,1
21,1.0,0,0,13,195
21,1335.0,4,43,0,1
23,1.0,0,0,13,195
23,2031.0,0,38,1,0
25,1.0,0,0,13,195
25,1663.0,1,46,0,1
27,1.0,0,0,13,195
27,1541.0,0,51,1,0
29,1.0,0,0,13,195
29,2051.0,1,24,0,1
2,1.0,0,0,13,195
2,1251.0,4,59,1,0
4,1.0,0,0,13,195
4,1243.0,2,51,0,1
6,1.0,0,0,13,195
6,1671.0,3,15,0,1
8,1.0,0,0,13,195
8,1721.0,2,49,1,0
10,1.0,0,0,13,195
10,2008.0,5,46,0,1
12,1.0,0,0,13,195
12,1403.0,3,63,1,0
14,1.0,0,0,13,195
14,1580.0,4,49,0,1
16,1.0,0,0,13,195
16,1581.0,2,46,0,1
18,1.0,0,0,13,195
18,2041.0,5,49,0,1
20,1.0,0,0,13,195
20,1731.0,7,60,0,1
22,1.0,0,0,13,195
22,1870.0,5,30,0,1
24,1.0,0,0,13,195
24,2091.0,2,43,0,1
26,1.0,0,0,13,195
26,2088.0,4,49,0,1
28,1.0,0,0,13,195
28,2144.0,4,35,0,1
30,1.0,0,0,13,195
30,1371.0,4,46,0,1
