"run","tick","dead_doctor_count","dead_patient_count","doctor_count","patient_count"
1,1.0,0,0,10,200
1,2115.0,7,45,0,1
3,1.0,0,0,10,180
3,2091.0,1,30,0,1
5,1.0,0,0,10,100
5,1471.0,3,13,0,1
7,1.0,0,0,13,195
7,1401.0,1,40,0,1
9,1.0,0,0,13,165
9,1846.0,9,15,1,0
11,1.0,0,0,18,200
11,1691.0,4,2,0,1
13,1.0,0,0,18,180
13,1841.0,10,14,1,0
15,1.0,0,0,18,100
15,1951.0,12,3,0,1
17,1.0,0,0,33,195
17,1613.0,19,12,1,0
19,1.0,0,0,33,165
19,1755.0,18,10,1,0
21,1.0,0,0,100,200
21,1404.0,61,0,1,0
23,1.0,0,0,100,180
23,2031.0,47,0,1,0
25,1.0,0,0,100,100
25,2131.0,68,0,1,0
2,1.0,0,0,10,195
2,2090.0,1,24,0,1
4,1.0,0,0,10,165
4,1649.0,5,36,0,1
6,1.0,0,0,13,200
6,1992.0,6,32,0,1
8,1.0,0,0,13,180
8,1831.0,1,17,0,1
10,1.0,0,0,13,100
10,1682.0,6,9,1,0
12,1.0,0,0,18,195
12,2150.0,7,8,1,0
14,1.0,0,0,18,165
14,1911.0,8,13,1,0
16,1.0,0,0,33,200
16,1661.0,15,2,1,0
18,1.0,0,0,33,180
18,1651.0,16,2,1,0
20,1.0,0,0,33,100
20,1241.0,19,0,1,0
22,1.0,0,0,100,195
22,1921.0,44,0,1,0
24,1.0,0,0,100,165
24,1441.0,65,2,1,0
