"run","tick","dead_doctor_count","dead_patient_count","doctor_count","patient_count"
1,1.0,0,0,13,195
1,2101.0,0,33,0,1
3,1.0,0,0,13,195
3,1570.0,1,36,0,1
5,1.0,0,0,13,195
5,1728.0,7,50,0,1
7,1.0,0,0,13,195
7,2141.0,1,27,1,0
9,1.0,0,0,13,195
9,1964.0,2,38,1,0
11,1.0,0,0,13,195
11,1810.0,3,43,0,1
13,1.0,0,0,13,195
13,1480.0,3,42,0,1
15,1.0,0,0,13,195
15,1721.0,3,53,0,1
17,1.0,0,0,13,195
17,2221.0,1,34,0,1
19,1.0,0,0,13,195
19,1706.0,3,47,0,1
21,1.0,0,0,13,195
21,2056.0,4,47,0,1
23,1.0,0,0,13,195
23,1510.0,1,49,0,1
25,1.0,0,0,13,195
25,1656.0,3,49,0,1
27,1.0,0,0,13,195
27,1841.0,3,40,0,1
29,1.0,0,0,13,195
29,1731.0,1,39,1,0
2,1.0,0,0,13,195
2,1370.0,3,40,0,1
4,1.0,0,0,13,195
4,1741.0,3,28,0,1
6,1.0,0,0,13,195
6,2060.0,6,24,0,1
8,1.0,0,0,13,195
8,1813.0,5,38,0,1
10,1.0,0,0,13,195
10,1721.0,1,41,1,0
12,1.0,0,0,13,195
12,1686.0,5,53,0,1
14,1.0,0,0,13,195
14,1641.0,4,44,0,1
16,1.0,0,0,13,195
16,1381.0,2,28,0,1
18,1.0,0,0,13,195
18,1536.0,2,54,0,1
20,1.0,0,0,13,195
20,1481.0,2,45,1,0
22,1.0,0,0,13,195
22,1421.0,3,24,0,1
24,1.0,0,0,13,195
24,1670.0,8,35,0,1
26,1.0,0,0,13,195
26,2160.0,2,36,0,1
28,1.0,0,0,13,195
28,2121.0,4,35,0,1
30,1.0,0,0,13,195
30,2110.0,1,22,0,1
