"run","tick","dead_doctor_count","dead_patient_count","doctor_count","patient_count"
1,1.0,0,0,100,100
1,2161.0,33,0,1,0
3,1.0,0,0,100,100
3,1299.0,61,0,1,0
5,1.0,0,0,100,100
5,2121.0,44,0,1,0
7,1.0,0,0,100,100
7,1371.0,57,0,1,0
9,1.0,0,0,100,100
9,2016.0,75,0,1,0
11,1.0,0,0,100,100
11,2061.0,39,2,1,0
13,1.0,0,0,100,100
13,2101.0,56,0,1,0
15,1.0,0,0,100,100
15,1961.0,84,0,1,0
17,1.0,0,0,100,100
17,1291.0,61,0,1,0
19,1.0,0,0,100,100
19,1911.0,62,2,1,0
21,1.0,0,0,100,100
21,1561.0,68,1,1,0
23,1.0,0,0,100,100
23,1801.0,50,1,1,0
25,1.0,0,0,100,100
25,1373.0,50,0,1,0
27,1.0,0,0,100,100
27,2212.0,64,2,1,0
29,1.0,0,0,100,100
29,1501.0,58,0,1,0
2,1.0,0,0,100,100
2,1906.0,62,1,1,0
4,1.0,0,0,100,100
4,1891.0,70,0,1,0
6,1.0,0,0,100,100
6,1491.0,68,0,1,0
8,1.0,0,0,100,100
8,1911.0,56,0,1,0
10,1.0,0,0,100,100
10,2021.0,54,0,1,0
12,1.0,0,0,100,100
12,2221.0,73,0,1,0
14,1.0,0,0,100,100
14,2151.0,56,0,1,0
16,1.0,0,0,100,100
16,1351.0,69,0,1,0
18,1.0,0,0,100,100
18,1651.0,58,3,1,0
20,1.0,0,0,100,100
20,1531.0,69,2,1,0
22,1.0,0,0,100,100
22,2025.0,66,2,1,0
24,1.0,0,0,100,100
24,1561.0,56,0,1,0
26,1.0,0,0,100,100
26,1530.0,56,3,1,0
28,1.0,0,0,100,100
28,1401.0,57,1,1,0
30,1.0,0,0,100,100
30,1601.0,52,0,1,0
