"run","tick","dead_doctor_count","dead_patient_count","doctor_count","patient_count"
1,1.0,0,0,33,165
1,2211.0,15,0,0,1
3,1.0,0,0,33,165
3,2131.0,17,4,0,1
5,1.0,0,0,33,165
5,1628.0,13,13,1,0
7,1.0,0,0,33,165
7,1521.0,22,3,1,0
9,1.0,0,0,33,165
9,1911.0,12,9,1,0
11,1.0,0,0,33,165
11,1611.0,14,8,1,0
13,1.0,0,0,33,165
13,2141.0,14,5,1,0
15,1.0,0,0,33,165
15,2021.0,13,1,1,0
17,1.0,0,0,33,165
17,1421.0,20,13,1,0
19,1.0,0,0,33,165
19,2011.0,11,2,1,0
21,1.0,0,0,33,165
21,1522.0,11,5,0,1
23,1.0,0,0,33,165
23,2071.0,20,2,1,0
25,1.0,0,0,33,165
25,2221.0,16,0,1,0
27,1.0,0,0,33,165
27,1501.0,12,15,1,0
29,1.0,0,0,33,165
29,1491.0,17,6,1,0
2,1.0,0,0,33,165
2,1502.0,15,12,1,0
4,1.0,0,0,33,165
4,2111.0,11,1,1,0
6,1.0,0,0,33,165
6,1581.0,16,26,1,0
8,1.0,0,0,33,165
8,2061.0,19,11,1,0
10,1.0,0,0,33,165
10,1571.0,16,0,1,0
12,1.0,0,0,33,165
12,1496.0,19,9,0,1
14,1.0,0,0,33,165
14,2061.0,17,0,0,1
16,1.0,0,0,33,165
16,1817.0,21,3,0,1
18,1.0,0,0,33,165
18,1631.0,15,12,1,0
20,1.0,0,0,33,165
20,1671.0,15,3,1,0
22,1.0,0,0,33,165
22,1331.0,15,16,0,1
24,1.0,0,0,33,165
24,1721.0,14,12,1,0
26,1.0,0,0,33,165
26,1711.0,12,14,0,1
28,1.0,0,0,33,165
28,1792.0,15,8,1,0
30,1.0,0,0,33,165
30,1410.0,11,9,1,0
